dalcahue	-42.3776	-73.6519
puqueldón	-42.6014	-73.6715
queilén	-42.6186	-73.78
quemchi	-42.1428	-73.4743
quellón	-43.1169	-73.6139
quinchao	-42.5381	-73.4188
calbuco	-41.772	-73.1327
cochamó	-41.4923	-72.3084
fresia	-41.15	-73.4163
frutillar	-41.1167	-73.05
llanquihue	-41.2606	-73.0078
los muermos	-41.3994	-73.465
maullín	-41.6148	-73.599
puerto montt	-41.4689	-72.9411
puerto varas	-41.3167	-72.9833
osorno	-40.5762	-73.1149
puero octay	-40.9768	-72.882
purranque	-40.9084	-73.1661
puyehue	-40.7686	-72.2364
río negro	-40.7833	-73.2333
san juan de la costa	-40.5167	-73.4
san pablo	-40.4124	-73.0126
chaitén	-42.9167	-72.7167
futaleufú	-43.1833	-71.8667
hualaihué	-42.0216	-72.6892
palena	-43.6167	-71.8
aisén	-45.4035	-72.6864
cisnes	-44.75	-72.7
guaitecas	-43.8833	-73.75
cochrane	-47.2536	-72.573
o'higgins	-48.4674	-72.5592
tortel	-47.8015	-73.5359
coihaique	-45.5712	-72.0683
lago verde	-44.2385	-71.8511
chile chico	-46.5409	-71.7223
río ibáñez	-46.3	-71.9333
antártica	-53.1417	-70.9063
cabo de hornos	-55.0992	-69.2748
laguna blanca	-52.25	-71.9167
punta arenas	-53.1638	-70.9171
río verde	-52.5847	-71.5137
san gregorio	-52.5531	-70.4082
porvenir	-53.2958	-70.3667
primavera	-54.046	-68.5722
timaukel	-54.2947	-69.1675
natales	-51.7333	-72.5167
torres del paine	-51.2592	-72.345
